Jam,V L1,V L2,V L3,V Avg,I L1,I L2,I L3,I Avg,KW L1,KW L2,KW L3,KW AVG,KVA L1,KVA L2,KVA L3,KVA AVG,FREQ,PF,kWH
9/14/2023 22:25:15,393.8,390.11,386.48,390.13,233.47,270.66,241.62,248.59,39.97,49.86,47.16,136.98,52.64,61.56,53.97,168.16,50.25,1.18,6774353.219
9/14/2023 22:27:44,393.87,390.21,386.52,390.2,237.2,274.77,249.52,253.83,41.02,50.23,48.69,139.94,53.5,62.45,55.76,171.71,50.25,1.18,6774358.953
9/14/2023 22:31:48,393.66,390.15,386.48,390.1,240.54,271.33,248.05,253.31,41.21,48.92,47.5,137.63,54.16,61.65,55.46,171.45,50.16,1.2,6774368.277
9/14/2023 22:41:48,393.82,390.23,386.55,390.2,232.59,271.62,242.22,248.81,39.81,49.77,47.41,136.99,52.39,61.73,54.16,168.29,50.15,1.19,6774390.909
9/14/2023 22:51:48,393.99,390.45,386.96,390.47,234.26,262.31,238.01,244.86,39.17,46.81,44.93,130.91,52.84,59.62,53.2,165.66,50.16,1.21,6774413.71
9/14/2023 22:54:34,393.65,390.28,386.59,390.18,234.46,271.18,245.07,250.24,38.7,47.95,46.74,133.39,52.82,61.58,54.79,169.19,50.16,1.21,6774419.762
9/14/2023 23:4:34,393.39,390.15,386.28,389.94,233.86,276.6,253.9,254.79,39.75,49.49,49.52,138.76,52.6,62.81,56.66,172.08,50.16,1.19,6774442.413
9/14/2023 23:14:34,392.73,389.56,385.9,389.4,239.54,270.21,242.19,250.65,41.26,50.21,46.89,138.36,53.76,61.29,54.03,169.08,50.07,1.18,6774464.801
9/14/2023 23:24:34,393.66,390.33,386.7,390.23,233.27,265.23,240.06,246.18,38.36,47.22,45.28,130.86,52.45,60.17,53.55,166.17,50.14,1.21,6774487.308
9/14/2023 23:34:34,394.13,390.71,387.44,390.76,244.87,268,241.54,251.47,42.05,49.65,45.97,137.61,55.2,60.92,54.04,170.16,50.1,1.19,6774509.883
9/14/2023 23:44:34,393.27,390.24,386.63,390.05,245.53,268.01,245.98,253.17,42.97,49.88,46.98,139.83,55.28,60.76,54.83,170.86,50.01,1.18,6774532.435
9/14/2023 23:54:35,392.21,388.9,385.33,388.81,232.92,271.15,245.66,249.91,38.56,48.19,47,133.75,52.31,61.39,54.64,168.34,50.16,1.2,6774554.999
9/15/2023 0:4:35,392.41,389.2,385.55,389.05,237.97,272.15,242.46,250.86,40.67,50.27,47.01,137.95,53.47,61.66,54.07,169.2,50.17,1.18,6774577.396
9/15/2023 0:14:35,392.85,389.52,385.97,389.44,232.06,265.06,233.57,243.56,37.49,47.16,44.07,128.73,52.06,60.09,52.06,164.45,50.12,1.22,6774599.426
9/15/2023 0:24:35,393.43,390.11,386.67,390.09,237.11,264.87,239.69,247.22,40.5,48.11,45.88,134.49,53.39,60.13,53.58,167.1,50.19,1.2,6774621.829
9/15/2023 0:34:35,390.96,387.51,384.27,387.58,237.7,267.98,235.04,246.9,37.87,47.24,43.76,128.88,53.17,60.43,52.18,165.77,50.18,1.22,6774643.939
9/15/2023 0:44:35,389.97,386.71,383.34,386.67,243.68,274.59,244.63,254.28,40.32,48.92,46.12,135.36,54.3,61.81,54.26,170.37,50.14,1.21,6774666.333
9/15/2023 0:54:35,388.19,384.96,381.14,384.76,234.36,270.27,231.86,245.5,37,48.04,43.67,128.72,52.05,60.56,51.05,163.67,50.01,1.21,6774688.188
9/15/2023 1:4:35,388.5,385.39,381.54,385.14,230.04,260.69,233.42,241.38,36.46,44.98,43,124.44,51.09,58.41,51.52,161.03,50.03,1.23,6774709.649
9/15/2023 1:14:35,388.71,385.5,381.62,385.28,233.65,269.2,240.32,247.72,38.38,47.55,45.63,131.56,52.12,60.59,53.01,165.71,50.04,1.2,6774731.982
9/15/2023 1:24:36,389.17,386.02,382.38,385.85,241.42,265.49,238.8,248.57,39.08,46.48,43.86,129.42,53.74,59.62,52.8,166.15,50.09,1.22,6774753.627
9/15/2023 1:34:36,389.94,386.61,382.91,386.49,231.77,260.1,230.66,240.84,35.31,43.79,41.37,120.46,51.7,58.51,51.08,161.29,50.11,1.25,6774775.423
9/15/2023 1:44:36,390.09,386.8,383.16,386.68,232.26,263.13,233.99,243.13,37.4,46.1,43.65,127.21,51.84,59.28,51.82,162.94,50.15,1.22,6774796.829
9/15/2023 1:54:36,389.47,386.52,382.49,386.16,237.98,269.77,238.21,248.65,39.36,48.47,45.2,133.03,52.96,60.65,52.73,166.33,50.07,1.2,6774818.076
9/15/2023 2:4:36,390.09,387.02,383.09,386.74,229.85,265.39,233.89,243.04,36.6,46.47,43.91,126.98,51.29,59.42,51.78,162.35,50.15,1.22,6774840.073
9/15/2023 2:14:36,390.28,387.12,383.33,386.91,235.63,271.49,238.36,248.49,37.21,47.33,44.65,129.19,52.59,61.14,52.84,166.58,50.1,1.22,6774861.661
9/15/2023 2:24:36,390.61,387.53,383.68,387.27,233.54,266.22,236.22,245.34,36.08,44.99,43.23,124.3,52.2,60.07,52.44,164.71,50.13,1.24,6774883.226
9/15/2023 2:34:36,389.26,386.69,382.42,386.12,236.91,256.79,235.19,242.96,39.62,45.96,43.8,129.38,52.76,57.73,52.03,162.55,50.09,1.2,6774904.928
9/15/2023 2:44:36,390.09,387.36,383.09,386.87,232.71,264.36,237.94,245,38.5,47.1,45.19,130.8,51.88,59.54,52.74,164.17,50.17,1.2,6774926.287
9/15/2023 2:54:37,389.97,387.27,383.07,386.77,235.73,260.76,237.19,244.65,39.27,46.16,44.08,129.5,52.69,58.81,52.68,164.18,50.01,1.21,6774947.714
9/15/2023 3:4:37,390.64,387.66,383.58,387.29,236.23,274.67,237.85,249.58,37.97,49.18,45.3,132.46,52.78,61.95,52.82,167.55,50.04,1.21,6774969.605
9/15/2023 3:14:37,390.65,387.82,383.69,387.39,242.45,268.1,239.73,250.09,39.88,47.73,44.6,132.21,54.14,60.56,53.22,167.92,50.11,1.21,6774991.218
9/15/2023 3:24:37,390.52,387.76,383.64,387.31,243.27,268.82,243.69,251.93,41.62,49.03,46.55,137.2,54.32,60.68,54.12,169.12,50.12,1.19,6775013.369
9/15/2023 3:34:37,390.92,388.06,383.94,387.64,229.64,258.63,234.98,241.09,37.55,45.19,44.04,126.78,50.87,58.47,51.87,161.21,50.11,1.22,6775035.057
9/15/2023 3:44:37,391.2,388.29,384.2,387.89,232.94,262.41,232.79,242.72,37.49,46.05,43.43,126.97,52.23,59.5,51.7,163.42,50.15,1.22,6775056.743
9/15/2023 3:54:37,391.42,388.38,384.4,388.07,231.87,266.35,236.04,244.75,36.7,46.16,44.04,126.89,51.86,60.19,52.47,164.47,50.13,1.23,6775078.959
9/15/2023 4:4:37,391.21,388.37,384.4,387.99,242.31,269.01,247.76,253.03,41.98,48.64,47.41,138.03,54.21,60.8,55.06,170.07,50.1,1.19,6775100.748
9/15/2023 4:14:38,391.48,388.28,384.41,388.06,238,274.94,235.42,249.46,38.85,50.13,45.23,134.21,53.3,62.12,52.27,167.69,50.08,1.2,6775123.112
9/15/2023 4:24:38,391.46,388.31,384.76,388.18,244.85,270.18,242.42,252.47,42.6,50.43,46.73,139.76,54.84,61.06,53.98,169.88,50.03,1.18,6775145.319
9/15/2023 4:34:38,391.28,388.09,384.64,388,238.68,261.19,234.6,244.83,40.25,47.46,44.12,131.83,53.48,59.01,52.13,164.62,49.96,1.2,6775167.859
9/15/2023 4:44:38,392.03,388.82,385.15,388.67,235.25,269.7,239.46,248.19,38.1,47.49,45.42,131,52.79,61.06,53.28,167.13,50.17,1.22,6775190.281
9/15/2023 4:54:38,391.27,388.16,384.45,387.96,237.85,267.4,243.25,249.5,39.99,47.33,46.13,133.45,53.24,60.39,54.07,167.71,50.06,1.2,6775212.588
9/15/2023 5:4:38,391.61,388.43,384.87,388.3,232.66,262.29,232,242.32,37,45.56,43.01,125.57,52.28,59.2,51.44,162.92,50.1,1.23,6775234.752
9/15/2023 5:14:38,385.52,383.16,379.4,382.69,560.18,568.71,533.06,553.98,121.51,123.89,113.68,359.09,123.57,126.46,116.96,367,50.14,0.98,6775279.423
9/15/2023 5:24:38,384.72,382.35,378.48,381.85,580.05,591.01,554.11,575.05,125.25,128.34,117.55,371.14,127.77,131.17,121.41,380.35,50.05,0.98,6775340
9/15/2023 5:34:38,385.48,383.14,379.16,382.59,569.65,575.79,543.69,563.04,123.55,125.55,116.02,365.13,125.87,128.64,119.39,373.9,50.23,0.98,6775402.222
9/15/2023 5:44:39,385.05,382.63,378.72,382.12,570.61,582.86,548.64,567.37,123.69,127.03,116.71,367.44,125.8,129.51,120.32,375.63,50.18,0.98,6775464.164
9/15/2023 5:54:39,384.39,382.2,378.22,381.61,582.35,583.61,557.48,574.48,126.01,127.2,119.1,372.31,128.19,129.49,122.15,379.83,50.13,0.98,6775525.547
9/15/2023 6:1:16,384.17,381.79,378.28,381.41,590.25,600.24,554.52,581.67,128.69,131.1,118.85,378.7,129.96,133.01,121.46,384.43,50.09,0.99,6775567.194
9/15/2023 6:4:7,384.64,382.25,378.58,381.83,577.19,589.15,545.01,570.33,125.82,128.81,116.84,371.47,127.05,130.7,119.43,377.13,50.2,0.98,6775584.926
9/15/2023 6:6:41,383.18,381.47,377.29,380.65,627.18,604.88,584.02,605.36,134.81,130.69,124.81,390.31,137.16,132.46,127.22,396.84,50.09,0.98,6775600.76
9/15/2023 6:36:41,380.27,378.19,373.99,377.48,728.37,743.85,695.5,722.57,153.87,157.9,144.05,455.82,158.51,163.13,150.69,472.32,50.06,0.96,6775819.894
9/15/2023 7:6:42,385.2,382.46,378.99,382.22,602.33,618.06,586.2,602.2,130.53,134.97,125.08,390.58,132.61,137.18,128.51,398.3,49.97,0.98,6776022.253
9/15/2023 7:36:42,381.7,378.86,376.39,378.98,792.45,808.42,746.99,782.62,167.77,170.71,154.21,492.68,173.71,177.72,162.75,514.18,50.06,0.96,6776245.874
9/15/2023 8:6:42,382.71,379.66,377.31,379.89,763.87,768.61,721.39,751.29,163.25,164.06,151.16,478.47,167.74,169.16,157.32,494.22,50.04,0.97,6776497.238
9/15/2023 8:36:43,378.57,376.05,373.45,376.02,925.88,934.48,872.18,910.85,193.57,194.92,178.45,566.94,201.09,203.48,188.47,593.03,50.06,0.96,6776712.539
9/15/2023 9:6:43,377.3,375.3,372.37,374.99,810.88,808.71,771.51,797.03,169.86,169.85,159.28,498.99,175.56,175.75,166.38,517.69,49.97,0.96,6776978.445
9/15/2023 9:36:43,380.52,378.33,375.14,378,663.71,663.06,645.28,657.35,142.54,143.03,136.79,422.36,145.19,145.99,140.57,431.76,49.97,0.98,6777229.295
9/15/2023 10:6:43,378.26,376.95,373.25,376.15,1005.48,981.66,946.65,977.93,207.98,202.67,192.96,603.45,218.23,213.98,204.61,636.82,50.05,0.95,6777464.33
9/15/2023 10:36:44,377.82,376.16,372,375.36,972.17,987.14,935.19,964.83,202.89,206.48,191.03,600.4,210.51,215.12,201.83,627.46,50.04,0.96,6777769.416
9/15/2023 11:6:44,376.77,374.96,370.09,373.94,915.29,916.76,870.12,900.72,191.26,192.33,178.7,562.29,197.48,199.51,186.9,583.89,49.87,0.96,6778056.191
9/15/2023 11:36:44,382.43,381.16,375.68,379.76,970.8,945.29,898.27,938.12,203.15,197.77,185.63,586.55,212.41,208.74,195.94,617.09,49.85,0.95,6778329.609
9/15/2023 12:6:45,389.14,386.56,381.14,385.61,671.35,700.12,656.2,675.89,147.66,155.35,141.43,444.44,149.25,157.32,145.07,451.64,50.03,0.98,6778611.327
9/15/2023 12:36:45,386.05,383.87,378.47,382.8,877.41,880.49,824.61,860.74,187.37,188.21,172.11,547.69,193.6,196.18,181.02,570.74,50.11,0.96,6778876.981
9/15/2023 13:6:45,386.21,383.72,378.87,382.92,944.4,952.31,875.39,924.03,200.24,201.26,180.48,581.98,208.53,211.87,192.5,612.91,49.94,0.95,6779161.461
9/15/2023 13:36:46,384.05,381.83,376.86,380.91,958.2,971.68,906.77,945.55,202.77,205.92,187.06,595.75,211.15,215.55,198.45,625.15,49.83,0.96,6779453.288
9/15/2023 14:6:46,382.53,380.45,375.27,379.42,1003.59,1035.05,961.86,1000.17,211.43,219.07,197.3,627.8,219.43,227.66,208.31,655.4,50.13,0.96,6779755.219
9/15/2023 14:36:46,384.52,382.36,377.52,381.47,917.46,917.76,861.39,897.75,195.2,196.58,180.08,571.86,201.07,203.61,190.58,599.32,50.19,0.96,6780024.01
9/15/2023 15:6:47,382.62,380.71,375.63,379.66,918.35,921.13,881,906.5,194.8,196.3,183.31,574.41,200.94,203.3,191.81,596.04,50,0.96,6780315.576
9/15/2023 15:36:47,387.28,385.12,380.12,384.17,882.87,903.39,851.74,879.33,189.86,194.71,178.69,563.26,195.6,201.77,187.63,585,50.12,0.96,6780598.488
9/15/2023 16:6:47,391.45,389.19,384.18,388.3,722.39,729.02,699.93,717.11,158.48,160.95,150.78,470.22,161.7,164.74,155.84,482.28,50.26,0.97,6780844.497
9/15/2023 16:36:48,393.08,390.38,385.43,389.63,639.86,651.82,632.74,641.47,140.97,144.97,137.04,422.86,143.81,147.74,141.23,432.78,50.05,0.98,6781069.135
9/15/2023 17:6:48,399.99,397.39,393.22,396.87,584.85,603.71,596.93,595.16,130.69,136.88,131.42,399,134.01,139.46,136.02,409.48,50.21,0.98,6781277.978
9/15/2023 17:36:48,394.86,391.41,387.27,391.18,607.2,617.81,594.26,606.42,132.97,136.38,127.56,396.91,136.47,139.38,132.96,408.81,49.98,0.97,6781463.691
9/15/2023 18:6:49,395.65,391.96,387.77,391.79,570.28,596.96,569.62,578.95,125.48,132.61,122.36,380.45,128.83,135.91,127.73,392.46,49.96,0.97,6781657.945
9/15/2023 18:36:49,388.47,385.39,379.95,384.6,507.16,538.97,505.75,517.29,111.41,119.65,109.04,340.09,112.41,120.76,111.37,344.54,50.05,0.99,6781836.516
9/15/2023 19:6:49,393.12,390,383.86,388.99,297.51,320.96,283.32,300.6,56.44,65.57,57.38,179.39,66.6,72.94,63.01,202.55,50.19,1.11,6781944.838
9/15/2023 19:36:49,394.97,391.74,385.46,390.72,267.74,295.03,265.68,276.15,48.24,57.43,51.94,157.6,60.23,67.38,59.32,186.93,50.14,1.16,6782027.042
9/15/2023 20:6:50,396.14,392.38,386.76,391.72,260.87,283.74,253.21,265.94,46.96,55.87,49.36,152.19,58.9,64.96,56.75,180.61,50.05,1.16,6782105.956
9/15/2023 20:36:50,396.36,392.31,387.13,391.93,267.92,291.01,254,270.98,50.1,59.79,51.16,161.05,60.57,66.65,56.98,184.21,50.01,1.12,6782184.511
9/15/2023 21:6:50,398.55,394.38,389.19,394.04,251.7,279.8,242.4,258.02,43.48,54.45,47,144.93,57.24,64.39,54.64,176.29,50.17,1.18,6782260.083
9/15/2023 21:36:51,399.25,395.25,390.1,394.87,251.21,275.1,239.18,255.17,43.96,53.96,46.22,144.14,57.28,63.47,54.06,174.8,50.19,1.17,6782331.354
9/15/2023 22:6:51,400.18,396.16,391.13,395.83,251.64,272.43,235.7,253.26,42.27,52.38,44.29,138.94,57.31,62.95,53.39,173.65,50.13,1.2,6782402.23
9/15/2023 22:36:51,401.73,397.78,392.34,397.28,252.94,278.8,235.85,255.86,43.33,55,45.39,143.72,58.34,64.65,53.12,176.12,50.2,1.18,6782473.986
9/15/2023 23:6:52,403.73,399.82,394.74,399.37,247.32,272.22,240.25,253.27,44.38,54.01,47.06,145.45,57,63.45,54.86,175.32,50.2,1.17,6782544.555
9/15/2023 23:36:52,400.68,396.82,391.52,396.34,240.26,272.38,246.15,252.52,41.58,51.61,47.95,141.14,54.61,63.05,55.75,173.02,49.92,1.19,6782615.684
9/16/2023 0:6:52,401.11,397.55,392,396.89,246.09,262.66,235.35,248.03,44.7,51.82,45.71,142.23,56.29,60.88,53.4,170.57,50.14,1.17,6782685.146
9/16/2023 0:36:53,402.26,398.17,393.05,397.83,238.25,264.44,233.92,245.54,41.1,50.3,44.87,136.27,54.7,61.42,53.19,169.3,50,1.19,6782753.561
9/16/2023 1:6:53,404.65,400.31,395.43,400.13,239.48,270.09,232.64,247.4,40.44,52.41,45.07,137.92,55.33,63.1,53.17,171.6,50.12,1.2,6782820.866
9/16/2023 1:36:53,405.23,400.81,396.34,400.79,243.07,268.81,232.62,248.17,43.47,53.82,45.65,142.94,56.2,62.71,53.28,172.19,50.11,1.17,6782889.381
9/16/2023 2:6:53,405.3,401.2,396.31,400.93,241.64,268.46,236.5,248.87,42.97,52.75,46.22,141.94,56.27,62.74,54.43,173.45,50.06,1.18,6782956.809
9/16/2023 2:36:54,406.3,402.16,397.36,401.94,232.88,251.81,226.73,237.14,39.31,47.3,42.42,129.03,54.11,59.12,52.05,165.29,50.12,1.22,6783025.315
9/16/2023 3:6:54,407.24,402.87,398.11,402.74,231.73,259.87,225.65,239.08,37.88,49.36,42.59,129.83,53.86,61.08,51.93,166.87,50.15,1.22,6783091.875
9/16/2023 3:36:54,406.72,402.61,398.04,402.45,239.48,261.24,228.32,243.01,41.04,50.73,43.41,135.19,55.61,61.34,52.55,169.49,50.15,1.2,6783158.35
9/16/2023 4:6:55,407.35,403.37,398.67,403.13,231.3,249.78,229.61,236.9,40.19,47.11,43.3,130.59,53.81,58.73,52.95,165.49,50.14,1.21,6783224.805
9/16/2023 4:36:55,407.58,403.14,398.64,403.12,230.98,263.71,231.41,242.03,38.08,50.04,44.16,132.28,53.75,61.99,53.31,169.05,50.11,1.22,6783293.622
9/16/2023 5:6:55,406.03,401.77,397.09,401.63,234.49,268.76,232.68,245.31,41.37,53.67,46.18,141.21,54.33,62.98,53.38,170.69,50.09,1.17,6783363.508
9/16/2023 5:36:56,397.89,394.98,389.57,394.15,516.22,524.4,482.38,507.67,113.79,115.75,103.73,333.27,118.44,121.53,109.81,349.77,50,0.96,6783443.338
9/16/2023 6:6:56,396.91,394.42,388.62,393.32,527.69,536.39,498.51,520.86,116.74,119.3,108.08,344.12,119.49,122.92,112.36,354.77,49.94,0.97,6783628.941
9/16/2023 6:36:56,396.76,394.14,388.37,393.13,632.69,662.77,608.81,634.76,137.94,145.28,128.82,412.04,140.95,149.52,134.91,425.37,50.11,0.95,6783832.091
9/16/2023 7:6:57,399.7,396.87,392.17,396.25,773.16,788.44,717.92,759.84,166.03,168.36,149.3,483.69,176.64,181.64,163.02,521.3,50.15,0.93,6784052.566
9/16/2023 7:36:57,399.38,395.84,392.26,395.83,857.05,869.32,788.54,809.8,176.98,177.48,156.4,510.86,189.68,193.42,172.73,555.64,49.97,0.92,6784319.647
9/16/2023 8:6:58,402.02,398.4,394.66,398.34,564.83,579.95,533.27,559.35,126.32,129.81,116.31,372.44,129.77,134.09,121.45,385.31,49.94,0.96,6784565.767
9/16/2023 8:36:58,399.35,395.99,392.35,395.9,570.17,588.51,524.01,560.9,128.06,131.52,114.45,373.85,130.22,135.32,118.92,384.47,49.93,0.97,6784747.371
9/16/2023 9:6:58,397.29,394.46,390.3,394.01,535.29,540.17,494.59,523.35,120.19,121.41,109.05,350.65,121.49,123.39,111.51,356.39,50.09,0.98,6784897.277
9/16/2023 9:36:59,391.85,389.41,385.02,388.76,674.05,669.39,612.82,652.09,147.24,145.67,131.35,424.26,151.73,151.9,137.05,440.68,49.87,0.97,6785109.619
9/16/2023 10:6:59,389.32,386.52,382.02,385.96,711.29,728.47,661.79,700.52,155.24,158.61,140.73,454.59,158.65,163.45,146.6,468.38,49.87,0.97,6785330.343
9/16/2023 10:36:59,391.95,389.06,385.07,388.69,730.67,733.42,681.04,715.04,159.54,159.95,145.58,465.06,164.25,165.16,151.67,481.08,50.08,0.97,6785572.732
9/16/2023 11:7:0,394.54,391.45,387.24,391.08,397.94,395.82,392.21,395.32,88.35,89.03,86.85,264.23,89.66,90.11,87.88,267.65,49.88,1.01,6785750.742
9/16/2023 11:37:0,395.49,392.24,388.36,392.03,419.87,415.67,401.85,412.46,93.87,94.03,89.38,277.27,95.11,94.89,90.27,280.26,49.91,1.01,6785888.339
9/16/2023 12:7:0,391.82,388.67,384.77,388.42,669.46,669.66,631.14,656.75,146.71,147.26,135.77,429.74,150.03,151.2,140.47,441.71,49.93,0.97,6786054.492
9/16/2023 12:37:1,393.44,390.08,385.93,389.82,607.01,613.9,578.52,599.76,134.65,136.84,126.12,397.61,136.58,139.25,129.2,405.02,50.17,0.98,6786264.126
9/16/2023 13:7:1,390.35,387.27,382.93,386.85,601.81,604.42,569.18,591.8,132.43,133.54,123.19,389.16,134.33,136.05,126.23,397.07,49.88,0.98,6786466.561
9/16/2023 13:37:2,388.13,385.31,380.9,384.78,680.09,694.21,642.64,672.31,148.08,151.2,136.79,436.07,151.03,155.68,142.05,448.77,49.86,0.97,6786673.468
9/16/2023 14:7:2,389.66,387.03,382.49,386.33,733.2,732.56,694.19,719.99,159.71,160.02,148.54,468.27,163.34,164.46,153.42,481.22,50.19,0.97,6786898.329
9/16/2023 14:37:2,388.26,385.69,381.43,385.13,778.53,757.42,717.28,751.08,166.95,162.17,151.66,480.77,173.13,169.56,158.53,501.22,49.93,0.96,6787133.723
9/16/2023 15:7:3,385.98,383.13,379.09,382.77,944.04,945.3,881.9,923.75,200.06,199.57,182.44,582.07,211.61,213.14,196.53,621.28,49.87,0.95,6787404.809
9/16/2023 15:37:3,389.73,387.23,382.95,386.64,770.84,754.13,720.97,748.64,165.82,162.51,153.29,481.62,171.75,169.2,159.85,500.8,50.17,0.96,6787687.03
9/16/2023 16:7:3,393,389.35,385.58,389.31,530.52,556.24,531.37,539.38,118.35,125.2,116.35,359.9,118.72,125.29,117.85,361.85,49.91,0.99,6787891.963
9/16/2023 16:37:4,395.81,392.19,388.52,392.17,543.62,573,541.07,552.56,121.64,129.31,118.81,369.81,123.26,130.86,122.11,376.24,50.15,0.98,6788073.348
9/16/2023 17:7:4,395.89,391.94,388.65,392.16,516.75,535.81,511.42,521.32,115.72,120.93,112.37,349.02,116.63,121.56,114.52,352.7,50.06,0.99,6788259.994
9/16/2023 17:37:4,396.26,392.59,389.4,392.75,626.03,642.84,606.75,625.21,138.57,142.56,131.29,412.42,142.13,146.72,136.63,425.48,50.17,0.97,6788452.049
9/16/2023 18:7:5,397.27,393.48,390.09,393.61,580.94,597.9,564.04,580.96,128.54,132.71,121.61,382.26,131.76,136.61,126.88,395.25,49.96,0.97,6788657.823
9/16/2023 18:37:5,384.42,380.74,377.12,380.81,427.85,433.14,421.64,427.54,93.23,95.35,91.26,279.85,94.19,95.9,91.89,281.98,50.06,1.01,6788814.792
9/16/2023 19:7:6,393.08,389.48,385.91,389.49,307.88,344.6,329.05,327.21,66.3,75.11,72.1,213.51,69.26,78.05,73.33,220.65,50.23,1.03,6788952.357
9/16/2023 19:37:6,394.4,390.94,387.69,391.01,272.18,293.67,289.2,285.02,52.13,57.23,58.84,168.2,61.54,66.88,64.78,193.2,50.2,1.13,6789054.606
9/16/2023 20:7:6,393.68,389.93,386.99,390.2,261.38,286.73,271.74,273.28,48.8,54.74,54.32,157.86,58.9,65.05,60.74,184.69,50.17,1.15,6789136.435
9/16/2023 20:37:7,389.71,386.02,383.39,386.35,238.46,260.69,252.47,250.54,43.72,48.5,49.39,141.61,53.16,58.57,55.88,167.61,49.97,1.16,6789213.149
9/16/2023 21:7:7,390.62,386.82,384.21,387.22,256.58,279.98,253.59,263.38,44.64,52.13,48.85,145.62,57.38,63.37,56.57,177.32,50.09,1.17,6789287.403
9/16/2023 21:37:7,390.12,386.41,383.7,386.74,243.66,271.28,240.99,251.97,40.87,49.34,45.78,135.99,54.56,61.1,53.41,169.07,50.06,1.19,6789355.213
9/16/2023 22:7:8,386.75,383.19,379.87,383.27,266.54,270.78,253.95,263.76,49.74,52.66,48.89,151.28,59.07,60.51,55.73,175.31,50.09,1.14,6789425.29
9/16/2023 22:37:8,401.47,397.71,392.87,397.35,252.38,267.76,247.91,256.02,44.38,50.93,46.77,142.09,57.8,62.06,56.34,176.2,50.13,1.19,6789498.705
9/16/2023 23:7:8,401.14,397.3,392.64,397.03,237.29,256.41,229.19,240.84,39.76,47.87,42.55,130.18,54.3,59.41,52.04,165.76,49.95,1.21,6789567.087
9/16/2023 23:37:9,399.77,396.15,390.76,395.61,238.48,258.14,229.71,242.11,38.33,46.77,41.73,126.83,54.42,59.63,51.96,166.01,50.01,1.24,6789632.09
9/17/2023 0:7:9,400.36,396.65,391.5,396.17,232.69,258.9,228.86,240.15,37.21,46.76,42.16,126.13,53.11,59.9,51.82,164.83,50.03,1.24,6789696.665
9/17/2023 0:37:9,401.59,397.64,392.77,397.33,230.8,257.09,226.89,238.26,37.33,46.91,42.09,126.33,52.87,59.65,51.55,164.07,50.02,1.23,6789759.463
9/17/2023 1:7:10,403.3,400.79,396.02,400.03,241.23,269.76,241.23,250.74,37.84,48.9,42.79,129.54,55.62,62.9,55.31,173.83,50.12,1.25,6789823.708
9/17/2023 1:37:10,404.85,402.07,397.74,401.55,247.66,268.19,237.75,251.2,39.81,50.28,42,132.1,57.31,62.63,54.69,174.63,50.16,1.24,6789887.72
9/17/2023 2:7:10,405.63,402.53,398.31,402.16,234.54,262.48,244.21,247.08,38.06,47.07,44.12,129.26,54.41,61.46,56.23,172.11,49.99,1.25,6789951.917
9/17/2023 2:37:11,405.3,402.33,398.04,401.89,244.79,263.83,240.33,249.65,42.2,50.58,43.84,136.63,56.7,61.74,55.31,173.76,49.99,1.21,6790016.47
9/17/2023 3:7:11,405.44,402.28,398.04,401.92,236.45,259.9,235.82,244.06,38.15,47.83,42.12,128.1,54.85,60.88,54.29,170.02,50.09,1.25,6790080.756
9/17/2023 3:37:11,405.41,402.53,397.93,401.96,238.35,262.26,236.83,245.81,36.98,47.06,41.54,125.58,55.19,61.41,54.53,171.13,50.18,1.27,6790143.29
9/17/2023 4:7:12,405.29,402.23,397.97,401.83,236.19,263.43,236.81,245.48,38.53,49,43.01,130.62,54.81,61.69,54.54,171.04,50.11,1.24,6790206.107
9/17/2023 4:37:12,405.81,402.82,398.57,402.4,237.28,255.41,232.36,241.69,36.44,45.45,40.04,121.93,55.06,59.89,53.55,168.5,50.18,1.28,6790270.249
9/17/2023 5:7:12,401.43,398.71,394.58,398.24,382.7,405.44,367.82,385.32,86.57,92.11,81.34,260.01,87.94,94,84.02,265.96,50.08,0.98,6790342.073
9/17/2023 5:37:13,399.28,396.66,392.21,396.05,452.11,478.3,436.48,455.63,101.47,107.6,95.19,304.26,103.39,110.22,98.9,312.51,49.98,0.97,6790485.218
9/17/2023 6:7:13,395.82,393.83,389.06,392.9,708.15,719.08,665,697.41,154.28,156.73,141.19,452.21,160.24,164.21,149.92,474.72,50.11,0.95,6790699.329
9/17/2023 6:37:14,395.71,393.52,388.71,392.65,706.93,731.42,684.02,707.45,152.76,159.19,144.12,456.07,160.96,167.89,154.16,483.02,50.08,0.95,6790934.211
9/17/2023 7:7:14,399.8,397.22,393.31,396.78,666.48,686.39,643.21,665.36,146.04,151.23,137.66,434.93,154.69,160.1,148.31,463.11,50.12,0.95,6791160.238
9/17/2023 7:37:14,399.64,396.98,393.62,396.75,690.52,711.9,657.73,686.72,150.87,155.35,139.33,445.55,158.21,163.92,149.89,472.14,50.07,0.94,6791379.131
9/17/2023 8:7:15,399.16,396.49,393.07,396.24,683.73,698.07,654.97,678.92,149.23,152.99,139.63,441.85,156.45,160.62,149.1,466.17,50.01,0.95,6791602.541
9/17/2023 8:37:15,401,398.11,394.84,397.98,517.8,530.48,508.03,518.77,115.98,119.64,111.9,347.52,118.95,122.3,115.55,356.79,50.15,0.97,6791806.235
9/17/2023 9:7:15,397.02,394.69,391.24,394.32,756.68,761.68,720.64,746.33,163.81,165.18,152.97,481.95,172.16,174.24,163.09,509.49,49.95,0.94,6792051.993
